data,casa,fora,gols_casa,gols_fora,status
2024-06-16T21:30:00Z,Criciúma EC,EC Bahia,2,2,FINISHED
2024-06-16T21:30:00Z,Cuiabá EC,Fortaleza EC,5,0,FINISHED
2024-06-16T21:30:00Z,Grêmio FBPA,Botafogo FR,1,2,FINISHED
2024-06-16T21:30:00Z,CR Vasco da Gama,Cruzeiro EC,0,0,FINISHED
2024-06-17T23:30:00Z,CA Mineiro,SE Palmeiras,0,4,FINISHED
2024-06-19T22:00:00Z,AC Goianiense,Criciúma EC,1,2,FINISHED
2024-06-19T22:00:00Z,Botafogo FR,CA Paranaense,1,1,FINISHED
2024-06-19T23:00:00Z,Fortaleza EC,Grêmio FBPA,1,0,FINISHED
2024-06-19T23:00:00Z,EC Juventude,CR Vasco da Gama,2,0,FINISHED
2024-06-19T23:00:00Z,São Paulo FC,Cuiabá EC,0,1,FINISHED
2024-06-20T00:30:00Z,Cruzeiro EC,Fluminense FC,2,0,FINISHED
2024-06-20T00:30:00Z,SC Internacional,SC Corinthians Paulista,1,0,FINISHED
2024-06-20T21:30:00Z,EC Vitória,CA Mineiro,4,2,FINISHED
2024-06-20T23:00:00Z,CR Flamengo,EC Bahia,2,1,FINISHED
2024-06-21T00:30:00Z,SE Palmeiras,RB Bragantino,2,1,FINISHED
2024-06-22T19:00:00Z,Criciúma EC,Botafogo FR,2,1,FINISHED
2024-06-22T20:30:00Z,Grêmio FBPA,SC Internacional,0,1,FINISHED
2024-06-22T21:30:00Z,Cuiabá EC,AC Goianiense,0,0,FINISHED
2024-06-23T00:30:00Z,CR Vasco da Gama,São Paulo FC,4,1,FINISHED
2024-06-23T19:00:00Z,CA Paranaense,SC Corinthians Paulista,1,1,FINISHED
2024-06-23T19:00:00Z,EC Bahia,Cruzeiro EC,4,1,FINISHED
2024-06-23T19:00:00Z,Fluminense FC,CR Flamengo,0,1,FINISHED
2024-06-23T21:30:00Z,CA Mineiro,Fortaleza EC,1,1,FINISHED
2024-06-23T21:30:00Z,RB Bragantino,EC Vitória,2,1,FINISHED
2024-06-23T21:30:00Z,SE Palmeiras,EC Juventude,3,1,FINISHED
